"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
21,"Flamengo - RJ","1","1","Atlético - GO","Maracanã - RJ","14/11/2020","21:30"
21,"Palmeiras - SP","2","0","Fluminense - RJ","Allianz Parque - SP","14/11/2020","21:30"
21,"Coritiba - PR","1","2","Bahia - BA","Couto Pereira - PR","16/11/2020","18:00"
21,"Botafogo - RJ","1","2","Red Bull Bragantino - SP","Nilton Santos - RJ","16/11/2020","20:00"
22,"Red Bull Bragantino - SP","4","0","Bahia - BA","Nabi Abi Chedid - SP","20/11/2020","20:00"
22,"Athletico Paranaense - PR","1","0","Santos - SP","Arena da Baixada - PR","21/11/2020","19:00"
22,"Flamengo - RJ","3","1","Coritiba - PR","Maracanã - RJ","21/11/2020","19:00"
22,"Goiás - GO","1","0","Palmeiras - SP","Hailé Pinheiro - GO","21/11/2020","21:00"
22,"São Paulo - SP","1","1","Vasco da Gama - RJ","Morumbi - SP","22/11/2020","16:00"
22,"Ceará - CE","2","2","Atlético - MG","Arena Castelão - CE","22/11/2020","16:00"
22,"Botafogo - RJ","1","2","Fortaleza - CE","Nilton Santos - RJ","22/11/2020","18:15"
22,"Internacional - RS","1","2","Fluminense - RJ","Beira-Rio - RS","22/11/2020","18:15"
22,"Corinthians - SP","0","0","Grêmio - RS","Neo Química Arena - SP","22/11/2020","20:30"
22,"Sport - PE","0","1","Atlético - GO","Ilha do Retiro - PE","23/11/2020","20:00"
23,"Atlético - MG","2","1","Botafogo - RJ","Mineirão - MG","25/11/2020","21:30"
23,"Coritiba - PR","0","1","Corinthians - SP","Couto Pereira - PR","25/11/2020","21:30"
23,"Fortaleza - CE","1","1","Goiás - GO","Arena Castelão - CE","26/11/2020","20:00"
23,"Palmeiras - SP","3","0","Athletico Paranaense - PR","Allianz Parque - SP","28/11/2020","17:00"
23,"Santos - SP","4","2","Sport - PE","Vila Belmiro - SP","28/11/2020","17:00"
23,"Bahia - BA","1","3","São Paulo - SP","Arena Fonte Nova - BA","28/11/2020","19:00"
23,"Atlético - GO","0","0","Internacional - RS","Antônio Accioly - GO","28/11/2020","21:00"
23,"Vasco da Gama - RJ","1","4","Ceará - CE","São Januário - RJ","30/11/2020","18:00"
23,"Fluminense - RJ","0","0","Red Bull Bragantino - SP","Maracanã - RJ","30/11/2020","20:00"
23,"Grêmio - RS","2","4","Flamengo - RJ","Arena do Grêmio - RS","28/01/2021","20:00"
24,"Fortaleza - CE","0","0","Corinthians - SP","Arena Castelão - CE","02/12/2020","21:30"
24,"Botafogo - RJ","0","1","Flamengo - RJ","Nilton Santos - RJ","05/12/2020","17:00"
24,"Santos - SP","2","2","Palmeiras - SP","Vila Belmiro - SP","05/12/2020","17:00"
24,"Fluminense - RJ","3","1","Athletico Paranaense - PR","Maracanã - RJ","05/12/2020","19:00"
24,"Bahia - BA","0","2","Ceará - CE","Arena Fonte Nova - BA","05/12/2020","19:00"
24,"Coritiba - PR","0","0","Red Bull Bragantino - SP","Couto Pereira - PR","05/12/2020","21:00"
